State,Notes,Program Name,Plan Name,Geographic Region,Medicaid-Only Enrollment ,Dual Enrollment,Total Enrollment,Year,Location,Parent Organization
South Carolina,,Non-Emergency Medical Transportation (Non-Emergency Medical Transportation),LogistiCare,Statewide,1048631,168671,1217302,2017,"South Carolina
(33.878572, -80.864614)",Logisticare Solutions LLC
Ohio,,MyCare Ohio Opt-out (Comprehensive MCO + MLTSS),CareSource,"East Central, Northeast, Northeast Central Regions",0,10075,10075,2017,"Ohio
(40.415534, -82.70936)",CareSource
Minnesota,,Minnesota Senior Health Option (MSHO) (Comprehensive MCO + MLTSS),PrimeWest Health,"Beltrami, Bigstone, Clearwater, Douglas, Grant, Hubbard, McLeod, Meeker, Pipestone, Pope, Renville, Stevens, and Traverse County",0,1941,1941,2017,"Minnesota
(46.349153, -94.198308)",PrimeWest Health
Louisiana,,Healthy Louisiana (Comprehensive MCO),Amerigroup,Statewide,219370,118,219488,2017,"Louisiana
(30.921314, -91.840238)",Amerigroup
Pennsylvania,,HealthChoices - Physical Health (Comprehensive MCO),Gateway Health,"Southwest, Lehigh/Capital, Northwest",301155,1011,302166,2017,"Pennsylvania
(40.896694, -77.838886)",Gateway Health
Texas,,STAR+PLUS (Comprehensive MCO + MLTSS),Superior Health Plan,"Bexar SDA, Dallas SDA, Hidalgo SDA, Lubbock SDA, Nueces SDA, MRSA Central, MRSA West",139417,8166,147583,2017,"Texas
(31.447238, -99.317341)",Superior Health Plan
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),WellCare Advocate,"New York City & Albany, Erie, Nassau, Orange, Rockland, Suffolk, Ulster, Westchester counties",325,5420,5745,2017,"New York
(42.921241, -75.59655)",WellCare Advocate
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Allegheny County HealthChoices,Allegheny county,183861,26024,209885,2017,"Pennsylvania
(40.896694, -77.838886)",Community Care Behavioral Health Organization
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),WellCare,"New York City & Albany, Dutchess, Erie, Nassau, Niagara, Orange, Rennselaer, Rockland, Schenectady, Schuyler, Steuben, Ulster counties",100997,0,100997,2017,"New York
(42.921241, -75.59655)",WellCare
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),Amida Care Special Needs,New York City,6146,0,6146,2017,"New York
(42.921241, -75.59655)",Amida Care Special Needs
Virginia,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Mountain Empire Older Citizens PACE (MEOC),"24215, 24216, 24218, 24219, 24221, 24230, 24243, 24244, 24245, 24246, 24248, 24250, 24251, 24258, 24263, 24265, 24271, 24273, 24277, 24279, 24281, 24282, 24283, 24290, 24293",2,96,98,2017,"Virginia
(37.510861, -78.666382)",Mountain Empire Older Citizens
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),NYS Catholic Health Plan/Fidelis,Statewide,1212917,0,1212917,2017,"New York
(42.921241, -75.59655)",NYS Catholic Health Plan/Fidelis
New York,,Health and Recovery Plans (Comprehensive MCO),Capital District Physician's Health Plan,"Albany, Broome, Columbia, Fulton, Greene, Montgomery, Rensselaer, Saratoga, Schenectady, Schoharie, Tioga, Washington counties",2399,0,2399,2017,"New York
(42.921241, -75.59655)",Capital District Physician's Health Plan
Texas,,Children's Medicaid Dental Services (Dental only (PAHP)),DentaQuest,Statewide,1669722,0,1669722,2017,"Texas
(31.447238, -99.317341)",DentaQuest
California,,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Health Net/San Diego,San Diego County,62201,15054,77255,2017,"California
(37.211164, -119.662127)",Centene Corporation
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Santa Clara,Santa Clara County,62042,13477,75519,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",Healthy Options - Blind Disabled (Comprehensive MCO),Community Health Plan of Washington,"Adams, Asotin, Benton, Chelan, Clark, Columbia, Cowlitz, Douglas, Ferry, Franklin,  Grant, Grays Harbor, Island, Jefferson, King, Kitsap, Kittitas, Klickitat, Lewis, Lincoln, Mason, Okanogan, Pacific, Pend Oreille, Pierce, San Juan, Skagit, Skamania, Snohomish, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Whitman, Yakima.",17414,0,17414,2017,"Washington
(47.411715, -120.592492)",Community Health Plan of Washington
New York,,Medicaid Advantage Plus (Comprehensive MCO + MLTSS),Village Care,New York City,0,0,0,2017,"New York
(42.921241, -75.59655)",Village Care
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Health Net/Stanislaus,Stanislaus County,73072,2437,75509,2017,"California
(37.211164, -119.662127)",Centene Corporation
